22/04/2022,15.95,15.95,0.05 (0.31 %),"938,600","14,773,000,000",0,0,15.90,16.50,14.80
21/04/2022,15.90,15.90,-1.20 (-7.02 %),"1,204,100","19,173,000,000",0,0,15.90,16.50,15.90
20/04/2022,17.05,17.05,-1.25 (-6.83 %),"830,100","14,205,000,000",0,0,17.35,17.75,17.05
19/04/2022,18.30,18.30,-1.40 (-7.11 %),"954,900","17,880,000,000",0,0,19.95,19.95,18.30
18/04/2022,19.65,19.65,-1.45 (-6.87 %),"1,144,000","22,762,000,000",0,0,20.90,21.10,19.65
15/04/2022,21.10,21.10,-0.40 (-1.86 %),"493,100","10,427,000,000",0,0,21.50,21.50,20.80
14/04/2022,21.50,21.50,-0.10 (-0.46 %),"594,900","12,915,000,000",0,0,22.00,22.05,21.40
13/04/2022,21.60,21.60,0.50 (2.37 %),"707,000","14,949,000,000",0,0,21.10,21.60,20.70
12/04/2022,21.10,21.10,-1.20 (-5.38 %),"786,600","16,973,000,000",0,0,22.45,22.70,21.00
08/04/2022,22.30,22.30,0.00 (0.00 %),"603,800","13,562,000,000",0,0,22.30,22.80,22.25
07/04/2022,22.25,22.25,-0.85 (-3.68 %),"1,357,700","30,613,000,000",0,0,23.10,23.10,22.25
06/04/2022,23.10,23.10,-1.00 (-4.15 %),"1,218,600","28,645,000,000",0,0,23.60,24.00,23.10
05/04/2022,24.10,24.10,0.10 (0.42 %),"590,600","14,188,000,000","3,500,000","87,500,000,000",23.85,24.30,23.85
04/04/2022,24.00,24.00,-0.70 (-2.83 %),"1,042,600","25,186,000,000",0,0,24.80,24.80,24.00
01/04/2022,24.65,24.65,-0.05 (-0.20 %),"1,055,300","25,314,000,000",0,0,24.05,24.65,23.50
31/03/2022,24.65,24.65,-0.15 (-0.60 %),"874,900","21,400,000,000",0,0,24.80,24.90,24.00
30/03/2022,24.80,24.80,-1.20 (-4.62 %),"1,672,700","42,295,000,000",0,0,26.00,26.20,24.65
29/03/2022,26.00,26.00,1.10 (4.42 %),"1,680,700","42,978,000,000",0,0,25.15,26.50,24.80
28/03/2022,24.90,24.90,-0.10 (-0.40 %),"1,185,600","29,562,000,000",0,0,24.90,25.50,24.40
25/03/2022,25.00,25.00,0.00 (0.00 %),"1,021,700","25,623,000,000",0,0,24.90,25.35,24.90
24/03/2022,24.95,24.95,0.15 (0.60 %),"770,900","19,089,000,000",0,0,24.60,25.20,24.40
23/03/2022,24.80,24.80,0.00 (0.00 %),"1,133,700","27,929,000,000",0,0,24.80,25.30,24.00
22/03/2022,24.80,24.80,0.30 (1.22 %),"1,322,300","32,408,000,000",0,0,24.45,25.20,24.15
21/03/2022,24.50,24.50,0.00 (0.00 %),"719,000","17,665,000,000",0,0,24.50,25.00,24.30
18/03/2022,24.50,24.50,0.40 (1.66 %),"796,700","19,387,000,000",0,0,24.15,24.60,23.90
17/03/2022,24.10,24.10,0.10 (0.42 %),"913,600","22,029,000,000",0,0,24.00,24.50,23.95
16/03/2022,23.95,23.95,0.05 (0.21 %),"610,900","14,755,000,000",0,0,23.90,25.00,23.90
15/03/2022,23.90,23.90,-0.30 (-1.24 %),"1,078,100","25,862,000,000",0,0,24.30,24.50,23.50
14/03/2022,24.20,24.20,-1.80 (-6.92 %),"1,727,600","42,746,000,000",0,0,25.80,26.00,24.20
11/03/2022,26.00,26.00,0.10 (0.39 %),"1,399,300","36,498,000,000",0,0,26.00,27.20,25.10
10/03/2022,25.85,25.85,-0.85 (-3.18 %),"1,162,300","30,326,000,000",0,0,26.60,26.70,25.50
09/03/2022,26.70,26.70,0.70 (2.69 %),"2,075,700","53,708,000,000",0,0,26.00,26.95,24.80
08/03/2022,26.00,26.00,-0.80 (-2.99 %),"2,285,000","61,615,000,000",0,0,27.45,27.55,26.00
07/03/2022,26.80,26.80,1.40 (5.51 %),"2,497,400","66,750,000,000",0,0,25.50,27.10,25.50
04/03/2022,25.35,25.35,0.15 (0.60 %),"1,435,400","36,573,000,000",0,0,26.00,26.00,25.20
03/03/2022,25.20,25.20,0.70 (2.86 %),"2,056,500","52,146,000,000",0,0,24.35,25.95,24.35
02/03/2022,24.50,24.50,0.20 (0.82 %),"1,543,200","37,757,000,000",0,0,23.80,25.20,23.80
01/03/2022,24.30,24.30,-0.10 (-0.41 %),"1,948,500","48,754,000,000",0,0,25.00,25.70,24.30
28/02/2022,24.35,24.35,1.55 (6.80 %),"1,698,700","40,909,000,000",0,0,22.80,24.35,22.80
25/02/2022,22.80,22.80,-0.40 (-1.72 %),"1,115,300","26,007,000,000",0,0,23.20,23.75,22.80
24/02/2022,23.20,23.20,-0.60 (-2.52 %),"1,422,100","32,532,000,000",0,0,23.75,23.80,22.10
23/02/2022,23.75,23.75,0.55 (2.37 %),"682,700","16,194,000,000",0,0,23.25,24.40,23.25
22/02/2022,23.20,23.20,-0.60 (-2.52 %),"986,500","22,850,000,000",0,0,23.45,23.70,22.85
21/02/2022,23.75,23.75,0.05 (0.21 %),"975,700","23,453,000,000",0,0,23.80,24.25,23.70
18/02/2022,23.70,23.70,0.50 (2.16 %),"935,200","21,918,000,000",0,0,23.00,23.90,22.50
17/02/2022,23.15,23.15,0.35 (1.54 %),"611,400","14,068,000,000",0,0,22.80,23.30,22.75
16/02/2022,22.75,22.75,0.35 (1.56 %),"646,400","14,796,000,000",0,0,22.50,23.50,22.50
15/02/2022,22.40,22.40,0.20 (0.90 %),"1,138,700","25,629,000,000",0,0,22.20,23.00,22.15
14/02/2022,22.20,22.20,-0.80 (-3.48 %),"799,800","17,932,000,000",0,0,22.50,22.90,22.20
11/02/2022,23.00,23.00,0.10 (0.44 %),"486,100","11,075,000,000",0,0,23.00,23.00,22.50
10/02/2022,22.90,22.90,0.00 (0.00 %),"521,100","11,820,000,000",0,0,22.90,22.90,22.40
09/02/2022,22.90,22.90,-0.50 (-2.14 %),"549,100","12,601,000,000",0,0,22.80,23.40,22.75
08/02/2022,23.40,23.40,0.20 (0.86 %),"515,700","11,855,000,000",0,0,23.20,23.40,22.75
07/02/2022,23.20,23.20,1.20 (5.45 %),"788,700","17,797,000,000",0,0,22.50,23.50,22.00
28/01/2022,22.00,22.00,0.90 (4.27 %),"855,700","18,451,000,000",0,0,21.90,22.00,21.00
27/01/2022,21.10,21.10,0.40 (1.93 %),"400,600","8,377,000,000",0,0,20.90,21.40,20.70
26/01/2022,20.70,20.70,-0.50 (-2.36 %),"761,000","15,834,000,000",0,0,21.80,21.80,20.50
25/01/2022,21.20,21.20,-0.80 (-3.64 %),"684,800","14,339,000,000",0,0,20.50,22.00,20.50
