22/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
21/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
20/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
19/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
18/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
14/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
13/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
12/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
08/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
07/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
06/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
05/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
04/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
01/04/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
31/03/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
30/03/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
29/03/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
28/03/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
25/03/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
24/03/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
Giá mở cửa,22/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.30,5.30
5.30,,,21/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30
5.3,5.30,5.30,,,20/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0
0,5.30,5.30,5.30,5.30,,,19/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0
0,0,0,5.30,5.3,5.30,5.30,,,18/04/2022,5.30,5.30,5.30,0.00 (0.00 %)
"  ",0,0,0,0,5.30,5.30,5.30,5.30,,,14/04/2022,5.30,5.30
5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.3,5.30,5.30,,,13/04/2022
5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.30,5.30,5.30,
,12/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.3,5.30
5.30,,,08/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30
5.30,5.30,5.30,,,07/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0
0,5.30,5.3,5.30,5.30,,,06/04/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0
0,0,0,5.30,5.30,5.30,5.30,,,05/04/2022,5.30,5.30,5.30,0.00 (0.00 %)
"  ",0,0,0,0,5.30,5.3,5.30,5.30,,,04/04/2022,5.30,5.30
5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.30,5.30,5.30,,,01/04/2022
5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.3,5.30,5.30,
,31/03/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30,5.30,5.30
5.30,,,30/03/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0,0,5.30
5.3,5.30,5.30,,,29/03/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0,0,0
0,5.30,5.30,5.30,5.30,,,28/03/2022,5.30,5.30,5.30,0.00 (0.00 %),"  ",0
0,0,0,5.30,5.3,5.30,5.30,,,25/03/2022,5.30,5.30,5.30,0.00 (0.00 %)
"  ",0,0,0,0,5.30,5.30,5.30,5.30,,,24/03/2022,5.30,5.30
23/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
22/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
21/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
18/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
17/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
16/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
15/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
14/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
11/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.30,5.30,5.30
10/02/2022,5.30,5.30,5.30,0.00 (0.00 %)," ",0,0,0,0,5.30,5.3,5.30,5.30
