22/04/2022,10.45,10.45,-0.75 (-6.70 %)," ","6,044,400","63,398,000,000","240,700","2,876,365,000",10.45,10.95,10.45
21/04/2022,11.20,11.20,-0.80 (-6.67 %)," ","215,500","2,413,000,000","774,900","9,298,800,000",11.20,11.20,11.20
20/04/2022,12.00,12.00,-0.90 (-6.98 %)," ","3,115,400","37,578,000,000","500,000","6,750,000,000",12.00,12.90,12.00
19/04/2022,12.90,12.90,-1.00 (-7.19 %)," ","2,689,400","35,127,000,000","1,220,000","17,756,000,000",13.50,13.50,12.90
18/04/2022,13.85,13.85,-1.05 (-7.05 %)," ","3,771,600","53,085,000,000",0,0,14.30,14.60,13.85
15/04/2022,14.85,14.85,-0.75 (-4.81 %)," ","2,144,100","32,660,000,000",0,0,15.50,15.55,14.85
14/04/2022,15.60,15.60,0.10 (0.65 %)," ","1,574,500","24,705,000,000","85,000","1,406,750,000",15.60,16.00,15.60
13/04/2022,15.50,15.50,-0.20 (-1.27 %)," ","1,461,000","22,088,000,000",0,0,15.50,15.50,14.65
12/04/2022,15.65,15.65,-0.25 (-1.57 %)," ","3,405,200","51,996,000,000","37,600","637,320,000",15.90,16.15,14.75
08/04/2022,15.85,15.85,-0.35 (-2.16 %)," ","1,638,500","26,258,000,000","220,000","3,806,000,000",16.20,16.55,15.80
07/04/2022,16.20,16.20,-0.50 (-2.99 %)," ","2,403,600","39,771,000,000",0,0,16.80,16.80,16.20
06/04/2022,16.70,16.70,-0.20 (-1.18 %)," ","2,591,200","42,849,000,000",0,0,16.50,16.70,16.35
05/04/2022,16.85,16.85,-0.15 (-0.88 %)," ","2,590,700","43,926,000,000","220,000","3,663,000,000",17.00,17.20,16.80
04/04/2022,17.00,17.00,0.70 (4.29 %)," ","2,427,800","40,807,000,000",0,0,16.30,17.15,16.30
01/04/2022,16.30,16.30,0.40 (2.52 %)," ","2,610,900","41,978,000,000",0,0,16.50,16.50,15.55
31/03/2022,15.85,15.85,-0.85 (-5.09 %)," ","3,468,000","56,841,000,000",0,0,16.95,16.95,15.70
30/03/2022,16.70,16.70,-0.40 (-2.34 %)," ","2,539,200","42,807,000,000",0,0,16.90,17.10,16.55
29/03/2022,17.10,17.10,0.10 (0.59 %)," ","1,993,100","33,890,000,000",0,0,16.90,17.25,16.90
28/03/2022,16.95,16.95,-0.35 (-2.02 %)," ","3,744,600","63,153,000,000","220,000","3,894,000,000",16.80,17.25,16.60
25/03/2022,17.30,17.30,-0.10 (-0.57 %)," ","2,566,000","44,458,000,000",0,0,17.20,17.45,17.20
22/04/2022,10.45,10.45,-0.75 (-6.70 %),"  ","6,044,400","63,398,000,000","240,700","2,876,365,000",10.45,10.95,10.45
0,0,0,,,21/04/2022,11.20,11.20,-0.80 (-6.67 %),"  ","215,500","2,413,000,000"
"774,900","9,298,800,000",11.20,11.20,11.20,0,0,0,,,20/04/2022,12.00
12.00,-0.90 (-6.98 %),"  ","3,115,400","37,578,000,000","500,000","6,750,000,000",12.00,12.90,12.00,0,0
0,,,19/04/2022,12.90,12.90,-1.00 (-7.19 %),"  ","2,689,400","35,127,000,000","1,220,000","17,756,000,000"
13.50,13.50,12.90,0,0,0,,,18/04/2022,13.85,13.85,-1.05 (-7.05 %)
"  ","3,771,600","53,085,000,000",0,0,14.30,14.60,13.85,0,0,0,
,15/04/2022,14.85,14.85,-0.75 (-4.81 %),"  ","2,144,100","32,660,000,000",0,0,15.50,15.55
14.85,0,0,0,,,14/04/2022,15.60,15.60,0.10 (0.65 %),"  ","1,574,500"
"24,705,000,000","85,000","1,406,750,000",15.60,16.00,15.60,0,0,0,,,13/04/2022
