date,recalibrate,close,change,KLKL,GTKL,KLTT,GTTT,Open,Highest,Lowest
22/04/2022,37.50,37.50,-0.10 (-0.27 %)," ","1,252,900","46,456,000,000",0,0,37.65,37.90,36.80
21/04/2022,37.60,37.60,0.30 (0.80 %)," ","569,300","20,941,000,000",0,0,37.00,37.60,35.40
20/04/2022,37.30,37.30,0.30 (0.81 %)," ","1,329,300","48,511,000,000",0,0,36.90,37.30,36.05
19/04/2022,37.00,37.00,-1.20 (-3.14 %)," ","585,200","21,992,000,000",0,0,38.25,38.25,37.00
18/04/2022,38.20,38.20,-0.20 (-0.52 %)," ","392,400","14,919,000,000",0,0,38.45,38.50,37.50
15/04/2022,38.40,38.40,0.20 (0.52 %)," ","622,600","23,961,000,000",0,0,38.15,39.10,38.00
14/04/2022,38.15,38.15,0.25 (0.66 %)," ","388,300","14,767,000,000",0,0,38.00,38.35,37.75
13/04/2022,37.90,37.90,0.70 (1.88 %)," ","614,900","22,859,000,000",0,0,37.00,37.90,36.60
12/04/2022,37.20,37.20,-0.10 (-0.27 %)," ","597,000","22,092,000,000",0,0,37.30,37.50,36.60
08/04/2022,37.30,37.30,-0.10 (-0.27 %)," ","491,700","18,328,000,000",0,0,37.40,37.60,37.15
07/04/2022,37.40,37.40,0.00 (0.00 %)," ","1,197,800","44,703,000,000",0,0,37.70,37.80,37.10
06/04/2022,37.40,37.40,0.30 (0.81 %)," ","347,300","12,972,000,000",0,0,37.10,37.80,37.00
05/04/2022,37.10,37.10,0.30 (0.82 %)," ","366,200","13,561,000,000",0,0,36.80,37.30,36.80
04/04/2022,36.80,36.80,0.00 (0.00 %)," ","368,400","13,554,000,000",0,0,36.60,37.00,36.60
01/04/2022,36.80,36.80,-0.20 (-0.54 %)," ","329,800","12,122,000,000",0,0,36.95,36.95,36.35
31/03/2022,36.95,36.95,0.45 (1.23 %)," ","352,000","12,861,000,000",0,0,36.30,36.95,36.30
30/03/2022,36.50,36.50,-0.30 (-0.82 %)," ","496,700","18,066,000,000",0,0,36.60,36.90,36.00
29/03/2022,36.80,36.80,-0.20 (-0.54 %)," ","337,700","12,534,000,000",0,0,37.00,37.60,36.70
28/03/2022,36.95,36.95,-0.05 (-0.14 %)," ","629,500","22,876,000,000",0,0,36.90,36.95,35.85
25/03/2022,36.95,36.95,0.65 (1.79 %)," ","694,900","25,397,000,000",0,0,36.50,37.00,36.20
24/03/2022,36.30,36.30,0.70 (1.97 %)," ","781,200","27,992,000,000",0,0,35.80,36.75,35.00
23/03/2022,35.60,35.60,0.10 (0.28 %)," ","374,500","13,295,000,000",0,0,35.45,35.80,35.20
