22/04/2022,2.70,2.70,2.70,-0.40 (-12.90 %)," ","107,900","291,330,000",0,0,3.10,2.70,2.70,2.70
21/04/2022,3.10,3.10,3.10,0.00 (0.00 %)," ",0,0,0,0,3.10,3.1,3.10,3.10
20/04/2022,3.10,3.10,3.10,0.00 (0.00 %)," ",0,0,0,0,3.10,3.10,3.10,3.10
19/04/2022,3.10,3.10,3.10,0.00 (0.00 %)," ",0,0,0,0,3.10,3.1,3.10,3.10
18/04/2022,3.10,3.10,3.10,0.00 (0.00 %)," ",0,0,0,0,3.10,3.10,3.10,3.10
14/04/2022,3.30,3.30,3.30,0.00 (0.00 %)," ",0,0,0,0,3.30,3.3,3.30,3.30
13/04/2022,3.30,3.30,3.30,0.00 (0.00 %)," ",0,0,0,0,3.30,3.30,3.30,3.30
12/04/2022,3.30,3.30,3.30,0.00 (0.00 %)," ",0,0,0,0,3.30,3.3,3.30,3.30
08/04/2022,3.30,3.30,3.30,-0.30 (-8.33 %)," ","45,700","150,140,000",0,0,3.60,3.30,3.60,3.10
07/04/2022,3.60,3.60,3.60,0.00 (0.00 %)," ",0,0,0,0,3.60,3.6,3.60,3.60
06/04/2022,3.60,3.60,3.60,0.00 (0.00 %)," ",0,0,0,0,3.60,3.60,3.60,3.60
05/04/2022,3.60,3.60,3.60,0.00 (0.00 %)," ",0,0,0,0,3.60,3.6,3.60,3.60
04/04/2022,3.60,3.60,3.60,0.00 (0.00 %)," ",0,0,0,0,3.60,3.60,3.60,3.60
01/04/2022,3.60,3.60,3.60,-0.20 (-5.26 %)," ","26,400","93,920,000",0,0,3.80,3.5,3.80,3.40
31/03/2022,3.80,3.80,3.80,0.00 (0.00 %)," ",0,0,0,0,3.80,3.80,3.80,3.80
30/03/2022,3.80,3.80,3.80,0.00 (0.00 %)," ",0,0,0,0,3.80,3.8,3.80,3.80
29/03/2022,3.80,3.80,3.80,0.00 (0.00 %)," ",0,0,0,0,3.80,3.80,3.80,3.80
28/03/2022,3.80,3.80,3.80,0.00 (0.00 %)," ",0,0,0,0,3.80,3.8,3.80,3.80
25/03/2022,3.70,3.70,3.70,0.30 (8.82 %)," ","82,400","315,010,000",0,0,3.40,3.40,3.90,3.40
24/03/2022,3.40,3.40,3.40,0.00 (0.00 %)," ",0,0,0,0,3.40,3.4,3.40,3.40
"                GD khớp lệnh"
"                GD thỏa thuận"
"                Giá  tham chiếu"
,Giá mở cửa
"                Giá cao nhất"
"                Giá thấp nhất"
"            "
"            "
"                KL"
"                GT"
"                KL"
"                GT"
"                 "
"       "
"    "
"        "
,,22/04/2022
,,2.70
,,2.70
,,2.70
,,-0.40 (-12.90 %)
,,"  "
,,"107,900"
,,"291,330,000"
,,0
,,0
,,3.10
,,2.70
,,2.70
,,2.70
,
,
"    "
"        "
,,21/04/2022
,,3.10
,,3.10
,,3.10
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.10
,,3.1
,,3.10
,,3.10
,
,
"    "
"        "
,,20/04/2022
,,3.10
,,3.10
,,3.10
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.10
,,3.10
,,3.10
,,3.10
,
,
"    "
"        "
,,19/04/2022
,,3.10
,,3.10
,,3.10
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.10
,,3.1
,,3.10
,,3.10
,
,
"    "
"        "
,,18/04/2022
,,3.10
,,3.10
,,3.10
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.10
,,3.10
,,3.10
,,3.10
,
,
"    "
"        "
,,14/04/2022
,,3.30
,,3.30
,,3.30
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.30
,,3.3
,,3.30
,,3.30
,
,
"    "
"        "
,,13/04/2022
,,3.30
,,3.30
,,3.30
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.30
,,3.30
,,3.30
,,3.30
,
,
"    "
"        "
,,12/04/2022
,,3.30
,,3.30
,,3.30
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.30
,,3.3
,,3.30
,,3.30
,
,
"    "
"        "
,,08/04/2022
,,3.30
,,3.30
,,3.30
,,-0.30 (-8.33 %)
,,"  "
,,"45,700"
,,"150,140,000"
,,0
,,0
,,3.60
,,3.30
,,3.60
,,3.10
,
,
"    "
"        "
,,07/04/2022
,,3.60
,,3.60
,,3.60
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.60
,,3.6
,,3.60
,,3.60
,
,
"    "
"        "
,,06/04/2022
,,3.60
,,3.60
,,3.60
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.60
,,3.60
,,3.60
,,3.60
,
,
"    "
"        "
,,05/04/2022
,,3.60
,,3.60
,,3.60
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.60
,,3.6
,,3.60
,,3.60
,
,
"    "
"        "
,,04/04/2022
,,3.60
,,3.60
,,3.60
,,0.00 (0.00 %)
,,"  "
,,0
,,0
,,0
,,0
,,3.60
,,3.60
,,3.60
,,3.60
,
,
"    "
"        "
