04/05/2022,72.00,72.00,-1.90 (-2.57 %)," ","50,700","3,513,000,000",0,0,73.90,73.90,68.80
29/04/2022,73.90,73.90,-0.10 (-0.14 %)," ",700,"51,000,000",0,0,73.90,73.90,73.00
28/04/2022,74.00,74.00,-0.50 (-0.67 %)," ",500,"36,000,000",0,0,72.80,74.00,72.70
27/04/2022,74.50,74.50,-0.10 (-0.13 %)," ",600,"43,000,000",0,0,72.60,74.50,72.50
26/04/2022,74.60,74.60,-0.20 (-0.27 %)," ",700,"51,000,000",0,0,72.70,74.60,72.70
25/04/2022,74.80,74.80,-0.10 (-0.13 %)," ","3,800","280,000,000",0,0,74.90,74.90,73.20
22/04/2022,74.90,74.90,1.70 (2.32 %)," ","6,100","446,000,000",0,0,73.20,74.90,73.10
21/04/2022,73.20,73.20,-0.30 (-0.41 %)," ","9,700","708,000,000",0,0,73.40,73.40,73.00
20/04/2022,73.50,73.50,0.00 (0.00 %)," ","14,700","1,084,000,000",0,0,74.30,76.50,73.50
19/04/2022,73.50,73.50,-0.50 (-0.68 %)," ","13,100","966,000,000",0,0,74.00,74.00,73.50
18/04/2022,74.00,74.00,-0.30 (-0.40 %)," ","4,700","347,000,000",0,0,74.30,74.30,74.00
15/04/2022,74.30,74.30,-0.10 (-0.13 %)," ","4,300","319,000,000",0,0,73.50,74.30,73.50
14/04/2022,74.40,74.40,-0.10 (-0.13 %)," ",400,"29,000,000",0,0,74.50,74.50,74.40
13/04/2022,74.50,74.50,0.50 (0.68 %)," ","5,600","414,000,000",0,0,74.10,74.50,74.00
12/04/2022,74.00,74.00,-0.80 (-1.07 %)," ","12,600","932,000,000",0,0,74.00,74.10,74.00
08/04/2022,74.80,74.80,-0.20 (-0.27 %)," ","1,200","89,000,000",0,0,75.00,75.00,74.20
07/04/2022,75.00,75.00,-1.60 (-2.09 %)," ","9,300","699,000,000",0,0,76.60,76.60,75.00
06/04/2022,76.60,76.60,1.10 (1.46 %)," ",700,"53,000,000",0,0,75.20,76.70,75.20
